종목명,변동성,회사명,종합등급_수치
삼성바이오로직스,0.1344521657356607,삼성바이오로직스,4.0
삼성생명,0.1806813797027104,삼성생명,3.8
삼성에스디에스,0.0993916438611042,삼성에스디에스,4.0
삼성전기,0.1283696268271314,삼성전기,4.0
삼성전자,0.1213356732200579,삼성전자,3.2
삼성제약,0.2734224542048553,삼성제약,0.4
삼성중공업,0.1473094124106446,삼성중공업,3.4
삼성증권,0.1443880992504733,삼성증권,3.6
삼성출판사,0.222679256785974,삼성출판사,1.0
삼성카드,0.0796736452076468,삼성카드,3.6
삼아알미늄,0.4280091418012647,삼아알미늄,1.4
삼양사,0.1537584356803598,삼양사,3.4
삼양통상,0.0990459721695178,삼양통상,1.2
삼양패키징,0.1294260241726169,삼양패키징,2.0
삼양홀딩스,0.1391992585364838,삼양홀딩스,3.2
삼영무역,0.0706583726706716,삼영무역,1.4
삼원강재,0.131622680478996,삼원강재,1.8
삼익THK,0.1751924104395212,삼익THK,1.8
삼익악기,0.1067017899226494,삼익악기,0.6
삼일제약,0.2031173694830715,삼일제약,1.2
삼정펄프,0.0969676147717923,삼정펄프,0.4
삼진제약,0.0806082579294551,삼진제약,1.4
삼천리,0.319609526220138,삼천리,1.8
삼호개발,0.1319247586125783,삼호개발,1.8
삼화왕관,0.0664995827935755,삼화왕관,1.0
상상인증권,0.1153481857005224,상상인증권,0.6
상신브레이크,0.1708620290136015,상신브레이크,1.2
새론오토모티브,0.1057358133992901,새론오토모티브,0.6
샘표,0.2459821106380855,샘표,1.2
샘표식품,0.1979759187095378,샘표식품,1.2
서연이화,0.2585162559537132,서연이화,3.2
서원,0.1616637645416956,서원,1.4
서흥,0.1451393863829134,서흥,1.8
선도전기,0.0847955380532776,선도전기,0.6
선진,0.2316935095126421,선진,2.6
성문전자,0.17376874145623,성문전자,0.6
성보화학,0.1214842270117156,성보화학,0.6
성신양회,0.1672456341197227,성신양회,1.6
성창기업지주,0.1360792102962956,성창기업지주,0.4
세기상사,0.3356104830055181,세기상사,0.8
세방,0.3300013850179364,세방,2.0
세방전지,0.3271498451922185,세방전지,1.4
세아제강,0.2244427705429466,세아제강,3.0
세아제강지주,0.2849988840891119,세아제강지주,2.6
세아특수강,0.1369124504553861,세아특수강,3.0
세아홀딩스,0.1036268759650533,세아홀딩스,2.4
세우글로벌,0.2617689017957632,세우글로벌,0.2
세원정공,0.117117340815978,세원정공,0.8
세이브존I&C,0.1209152252730443,세이브존I&C,0.8
세진중공업,0.2333040664616553,세진중공업,1.0
셀트리온,0.177132890620297,셀트리온,2.6
송원산업,0.1722558622844701,송원산업,1.0
수산중공업,0.356574644468395,수산중공업,0.8
시디즈,0.1853797001720446,시디즈,0.6
신대양제지,0.263386230230238,신대양제지,0.4
신도리코,0.1084980285092106,신도리코,1.0
신라교역,0.1180765559182185,신라교역,0.4
신성이엔지,0.4344763282144738,신성이엔지,0.8
신성통상,0.2389324148278656,신성통상,0.4
신세계,0.1223414469853437,신세계,4.0
신세계건설,0.2747967067895051,신세계건설,2.8
신세계인터내셔날,0.2289294960016596,신세계인터내셔날,3.8
신세계푸드,0.1658164538084152,신세계푸드,3.4
신송홀딩스,0.2919654662503739,신송홀딩스,0.8
신영와코루,0.2378101780745474,신영와코루,0.4
신영증권,0.0797772826645249,신영증권,2.6
신원,0.1460432820121982,신원,1.0
신한지주,0.1187309572645684,신한지주,5.0
신흥,0.102100933966012,신흥,1.0
써니전자,0.0999682203154431,써니전자,0.4
씨에스윈드,0.3678910428832256,씨에스윈드,2.6
아남전자,0.2042197285389144,아남전자,0.4
아모레퍼시픽,0.2376957944520497,아모레퍼시픽,4.0
아세아,0.1717655663871548,아세아,3.0
아세아시멘트,0.2896127240967227,아세아시멘트,2.8
아세아제지,0.2628581492474146,아세아제지,1.8
아시아나IDT,0.2373691668213976,아시아나IDT,0.8
아시아나항공,0.3922939225819014,아시아나항공,2.0
아이마켓코리아,0.121064379257681,아이마켓코리아,1.6
아이에스동서,0.1934970900502644,아이에스동서,2.4
알루코,0.297103198890999,알루코,0.8
애경산업,0.2104075839800837,애경산업,3.6
에넥스,0.3004308383991971,에넥스,1.2
에스엘,0.2124589540915461,에스엘,2.4
에스원,0.0848656607266855,에스원,3.2
에쓰씨엔지니어링,0.4501913600610093,에쓰씨엔지니어링,0.4
에어부산,0.3190329913857819,에어부산,0.8
에이블씨엔씨,0.2310550242778092,에이블씨엔씨,2.0
엔씨소프트,0.1900586330431956,엔씨소프트,3.8
엔케이,0.1106200901067936,엔케이,0.6
영보화학,0.1328870697342852,영보화학,0.8
영원무역,0.1353909058089045,영원무역,2.8
영원무역홀딩스,0.1238090784563454,영원무역홀딩스,2.8
영진약품,0.1646459491129315,영진약품,2.8
영풍,0.1627719307465093,영풍,1.8
영화금속,0.1524712818964799,영화금속,0.8
예스코홀딩스,0.0773384899581306,예스코홀딩스,2.2
오뚜기,0.086233385160695,오뚜기,3.0
오리엔트바이오,0.4102921377853465,오리엔트바이오,0.4
오리온,0.1404801465959544,오리온,3.8
오리온홀딩스,0.076945486242345,오리온홀딩스,3.8
우리금융지주,0.0996967129460017,우리금융지주,3.8
우진,0.1967982829516067,우진,1.6
우진아이엔에스,0.1215455020255067,우진아이엔에스,1.0
우진플라임,0.1614372764820801,우진플라임,1.0
웅진씽크빅,0.2225828963018345,웅진씽크빅,2.6
원림,0.1441854183894358,원림,0.6
웰바이오텍,0.3765765967182023,웰바이오텍,0.8
윌비스,0.2222820524405976,윌비스,0.4
유니드,0.2905900965417001,유니드,2.4
유니온,0.317267287696194,유니온,1.2
유니온머티리얼,0.2725297509131072,유니온머티리얼,1.2
유니켐,0.2485302218544292,유니켐,0.8
유니퀘스트,0.3365799068463248,유니퀘스트,1.0
유성기업,0.1241364239552159,유성기업,1.0
유수홀딩스,0.1362382945162316,유수홀딩스,2.8
유안타증권,0.1500065990764297,유안타증권,1.2
유엔젤,0.2669519437767411,유엔젤,0.4
유유제약,0.1871832941809909,유유제약,1.2
유한양행,0.2936371368851138,유한양행,3.4
유화증권,0.1960278316668315,유화증권,0.6
율촌화학,0.1926248088297563,율촌화학,1.2
이건산업,0.2266820380176749,이건산업,0.6
이구산업,0.2515008696465294,이구산업,1.4
이노션,0.1396384800613265,이노션,3.4
이마트,0.1402747653307192,이마트,4.0
이수페타시스,0.3877097394910672,이수페타시스,1.6
이수화학,0.2568105828144344,이수화학,1.4
이연제약,0.3042588231874559,이연제약,1.2
이월드,0.1996730257921093,이월드,0.4
이화산업,0.20213508331856,이화산업,0.6
인디에프,0.4064764165910472,인디에프,0.4
인스코비,0.1566896590447488,인스코비,0.4
인지컨트롤스,0.3433763198004009,인지컨트롤스,0.8
인천도시가스,0.0476463458629891,인천도시가스,1.6
인터지스,0.2252258259253447,인터지스,1.6
인팩,0.2233044595779057,인팩,1.0
일동홀딩스,0.3966845885999591,일동홀딩스,3.4
일성건설,0.3521689406109297,일성건설,0.8
일신방직,0.2587202322942768,일신방직,1.0
일신석재,0.1608753537225143,일신석재,0.4
일양약품,0.3999247453626014,일양약품,1.2
일정실업,0.2391924019925117,일정실업,0.4
일진다이아,0.3325902764889732,일진다이아,0.4
일진디스플,0.2167833162424307,일진디스플,1.2
일진전기,0.3814607825552467,일진전기,0.4
일진홀딩스,0.2139291242253671,일진홀딩스,1.6
잇츠한불,0.3122723080579309,잇츠한불,1.6
자화전자,0.2469151387447343,자화전자,0.8
전방,0.3335248700858859,전방,0.4
제이에스코퍼레이션,0.2602372175893011,제이에스코퍼레이션,0.8
제일기획,0.1131226844418392,제일기획,3.6
제일약품,0.2492162232745584,제일약품,0.8
제일연마,0.0656783313184028,제일연마,1.0
제일파마홀딩스,0.2174534196575043,제일파마홀딩스,1.2
제주은행,0.4083362357874589,제주은행,3.4
제주항공,0.2197501691746723,제주항공,3.0
조광페인트,0.1236581393269215,조광페인트,1.6
조광피혁,0.0847153079609506,조광피혁,1.0
조비,0.1960124390374903,조비,0.4
조선선재,0.1354529228078143,조선선재,0.4
조일알미늄,0.4441394310728444,조일알미늄,1.4
조흥,0.0928506447685625,조흥,1.4
종근당,0.2687826649133829,종근당,3.2
종근당바이오,0.2667988019589377,종근당바이오,2.6
종근당홀딩스,0.0884699601491948,종근당홀딩스,2.8
주연테크,0.3031621919827466,주연테크,0.4
지엠비코리아,0.1582611694876834,지엠비코리아,0.4
지역난방공사,0.2150808271737984,지역난방공사,4.6
진도,0.23664978043744,진도,0.4
진양산업,0.1991417658611506,진양산업,0.2
진양홀딩스,0.0758261009367016,진양홀딩스,0.6
진양화학,0.2238205517301832,진양화학,0.4
진에어,0.240418875445819,진에어,3.4
진흥기업,0.1052034707265289,진흥기업,1.0
참엔지니어링,0.1554166428527034,참엔지니어링,1.0
천일고속,0.0974369514054354,천일고속,0.8
체시스,0.4449137346896588,체시스,0.4
카카오,0.2876233624325173,카카오,3.8
케이비아이동국실업,0.1749828110770558,케이비아이동국실업,0.4
케이씨,0.1488355468267836,케이씨,1.8
케이씨텍,0.1610310764052938,케이씨텍,1.6
코리아써키트,0.2309444267833839,코리아써키트,0.8
코리안리,0.0816358099378012,코리안리,3.2
코스맥스,0.2981763127954708,코스맥스,2.8
코스맥스비티아이,0.1760069421129355,코스맥스비티아이,2.4
코스모신소재,0.386501966861845,코스모신소재,1.4
코스모화학,0.3276133590067513,코스모화학,0.6
코오롱,0.1427209725754079,코오롱,2.2
코오롱글로벌,0.3257375564392257,코오롱글로벌,1.8
코오롱인더,0.1788586941118131,코오롱인더,3.4
코웨이,0.1217567493886881,코웨이,3.8
콤텍시스템,0.1492886543918606,콤텍시스템,0.6
쿠쿠홀딩스,0.2554591708522978,쿠쿠홀딩스,1.2
쿠쿠홈시스,0.1079800462137835,쿠쿠홈시스,1.0
크라운제과,0.1710390612598402,크라운제과,1.4
크라운해태홀딩스,0.1297369290538529,크라운해태홀딩스,1.2
키다리스튜디오,0.2683873294230555,키다리스튜디오,0.8
키움증권,0.1652221883154448,키움증권,2.4
태경산업,0.0881610603946741,태경산업,1.2
태광산업,0.1561193144803533,태광산업,1.4
태림포장,0.2524486291836495,태림포장,1.4
태영건설,0.3283573583962822,태영건설,2.8
태원물산,0.1259674061635354,태원물산,0.6
테이팩스,0.2457851670174952,테이팩스,3.2
텔코웨어,0.0748383554467051,텔코웨어,1.0
