종목명,변동성
미원홀딩스,0.19353738429555895
미원화학,0.08231652392616301
방림,0.27705410261538965
백광산업,0.28803539565797576
백산,0.2213763357576092
범양건영,0.6442786863941561
벽산,0.2795860298179718
보락,0.11448691170985192
보해양조,0.0989956501827245
부광약품,0.3122534739620531
부국증권,0.0852798719559423
부국철강,0.1570316681692894
부산산업,0.13118753717429354
부산주공,0.5036723743843123
비상교육,0.2082406266819642
빙그레,0.1744493937464602
사조대림,0.22631081960235577
사조동아원,0.2244541472872466
사조산업,0.25108951197098184
사조씨푸드,0.2122125140951891
사조오양,0.11793402946386426
삼부토건,0.9843182839488579
삼성SDI,0.1860916175855809
삼성공조,0.324825198100536
삼성물산,0.12860414315226068
삼성바이오로직스,0.13445216573566074
삼성생명,0.18068137970271048
삼성에스디에스,0.09939164386110422
삼성전기,0.1283696268271314
삼성전자,0.12133567322005796
삼성제약,0.27342245420485534
삼성중공업,0.14730941241064463
삼성증권,0.1443880992504733
삼성출판사,0.222679256785974
삼성카드,0.07967364520764689
삼아알미늄,0.42800914180126476
삼양사,0.15375843568035982
삼양식품,0.5045992858372996
삼양통상,0.09904597216951784
삼양패키징,0.12942602417261692
삼양홀딩스,0.1391992585364838
삼영무역,0.07065837267067168
삼원강재,0.13162268047899603
삼익THK,0.17519241043952125
삼익악기,0.10670178992264949
삼일제약,0.20311736948307152
삼정펄프,0.09696761477179236
삼진제약,0.08060825792945511
삼천리,0.31960952622013805
삼호개발,0.13192475861257832
삼화왕관,0.06649958279357557
삼화전기,0.787898832141602
상상인증권,0.11534818570052241
상신브레이크,0.17086202901360154
새론오토모티브,0.10573581339929014
샘표,0.24598211063808556
샘표식품,0.19797591870953787
서연,0.5310190604703551
서연이화,0.25851625595371325
서원,0.16166376454169568
서흥,0.14513938638291343
선도전기,0.08479553805327764
선진,0.2316935095126421
성문전자,0.17376874145623006
성보화학,0.1214842270117156
성신양회,0.16724563411972276
성창기업지주,0.13607921029629563
세기상사,0.33561048300551816
세방,0.33000138501793647
세방전지,0.32714984519221857
세아제강,0.22444277054294662
세아제강지주,0.28499888408911195
세아특수강,0.13691245045538614
세아홀딩스,0.10362687596505335
세우글로벌,0.2617689017957632
세원정공,0.11711734081597809
세이브존I&C,0.12091522527304438
세진중공업,0.23330406646165536
셀트리온,0.17713289062029708
송원산업,0.17225586228447015
수산중공업,0.356574644468395
시디즈,0.18537970017204466
신대양제지,0.263386230230238
신도리코,0.10849802850921061
신라교역,0.11807655591821854
신성이엔지,0.43447632821447385
신성통상,0.2389324148278656
신세계,0.1223414469853437
