종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,연도,분기
CJ대한통운,KOSPI,,169500,-500,-0.29,170000,170500,168500,46783,7916875000,3866692308000,22812344,2021,Q2
CJ대한통운,KOSPI,,169000,-2000,-1.17,169000,170500,168500,76897,13034187020,3855286136000,22812344,2021,Q3
CJ대한통운,KOSPI,,125000,1000,0.81,124000,126000,123000,60420,7537105000,2851543000000,22812344,2021,Q4
CJ대한통운,KOSPI,,131000,7000,5.65,124500,133000,124000,136465,17688488500,2988417064000,22812344,2022,Q1
CJ대한통운,KOSPI,,125500,-4000,-3.09,128000,128000,125000,37414,4726925500,2862949172000,22812344,2022,Q2
CJ대한통운,KOSPI,,118000,-500,-0.42,118500,120000,117000,38686,4576990000,2691856592000,22812344,2022,Q3
CJ대한통운,KOSPI,,89900,1500,1.7,89500,92700,89500,172695,15660715600,2050829725600,22812344,2022,Q4
CJ대한통운,KOSPI,,83600,1900,2.33,82000,84600,81800,57904,4834464500,1907111958400,22812344,2023,Q1
CJ대한통운,KOSPI,,81400,-100,-0.12,81500,82400,81000,35143,2869779500,1856924801600,22812344,2023,Q2
CJ대한통운,KOSPI,,82300,3400,4.31,78200,82900,78100,125807,10307310100,1877455911200,22812344,2023,Q3
CJ대한통운,KOSPI,,113800,700,0.62,114000,121000,112200,406167,47426282700,2596044747200,22812344,2023,Q4
CJ대한통운,KOSPI,,124000,-400,-0.32,125900,126500,123200,105514,13130354300,2828730656000,22812344,2024,Q1
CJ대한통운,KOSPI,,103700,0,0.0,104900,105100,102000,87465,9022882900,2365640072800,22812344,2024,Q2
CJ대한통운,KOSPI,,94100,-200,-0.21,95100,95700,93600,48478,4571654086,2146641570400,22812344,2024,Q3
CJ대한통운,KOSPI,,82000,100,0.12,82700,83500,81800,41669,3439014400,1870612208000,22812344,2024,Q4
CJ씨푸드,KOSPI,,3970,135,3.52,3920,4335,3900,23108756,95578758315,142645168810,35930773,2020,Q1
CJ씨푸드,KOSPI,,3955,20,0.51,3945,3990,3940,932898,3693856545,142106207215,35930773,2020,Q2
CJ씨푸드,KOSPI,,5440,-460,-7.8,5950,6080,5360,10285784,57783148570,195463405120,35930773,2020,Q3
CJ씨푸드,KOSPI,,5250,-20,-0.38,5320,5420,5220,2304291,12242106780,188636558250,35930773,2020,Q4
CJ씨푸드,KOSPI,,4350,25,0.58,4360,4440,4335,219433,961995515,156298862550,35930773,2021,Q1
CJ씨푸드,KOSPI,,4820,105,2.23,4750,4880,4715,1188132,5716242365,173186325860,35930773,2021,Q2
CJ씨푸드,KOSPI,,4270,40,0.95,4230,4270,4205,104005,440373955,153424400710,35930773,2021,Q3
CJ씨푸드,KOSPI,,3370,60,1.81,3240,3410,3240,152657,507010215,121086705010,35930773,2021,Q4
CJ씨푸드,KOSPI,,4090,425,11.6,3685,4165,3685,7492894,30083828760,146956861570,35930773,2022,Q1
