종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
SPC삼립,KOSPI,,81400,-100,-0.12,81500,81700,81000,6797,553089000,702401332600,8629009
STX,KOSPI,,4965,-5,-0.1,4980,5050,4955,284583,1419628290,133401109500,26868300
STX엔진,KOSPI,,11150,50,0.45,11200,11350,11000,30838,344801400,256549279600,23008904
SUN&L,KOSPI,,5900,70,1.2,5830,5900,5740,6343,36962990,74387135100,12607989
TCC스틸,KOSPI,,8300,470,6.0,7830,8430,7790,1473696,11982530510,195050000000,23500000
TYM,KOSPI,,2230,65,3.0,2165,2240,2165,2943367,6517861025,315243379120,141364744
WISCOM,KOSPI,,4160,5,0.12,4140,4210,4130,34451,143061955,63757982080,15326438
YG PLUS,KOSPI,,7750,-170,-2.15,7830,7930,7720,768585,5992277230,491577927500,63429410
가온전선,KOSPI,,30400,-350,-1.14,30750,30750,30050,16926,513948400,126474548800,4160347
강남제비스코,KOSPI,,26800,-100,-0.37,26950,26950,26500,11742,313906000,174200000000,6500000
강원랜드,KOSPI,,27950,250,0.9,27550,28200,27500,966757,27026656850,5979636975000,213940500
갤럭시아에스엠,KOSPI,,2500,110,4.6,2395,2645,2380,6712697,17120134990,68874110000,27549644
경농,KOSPI,,14900,150,1.02,14800,14950,14600,48563,717627500,290886367500,19522575
경동나비엔,KOSPI,,66600,-600,-0.89,67300,67500,66400,26894,1796874100,906075018000,13604730
경동도시가스,KOSPI,,22900,600,2.69,22300,22950,22300,13391,303934150,135004797400,5895406
경동인베스트,KOSPI,,37300,200,0.54,37500,37750,37100,3388,126677400,88215357900,2365023
경방,KOSPI,,13700,50,0.37,13600,13750,13550,12161,165662650,375589199000,27415270
경보제약,KOSPI,,12150,100,0.83,12050,12150,11850,91610,1097756700,290468349000,23906860
경인양행,KOSPI,,7000,40,0.57,7000,7020,6930,257792,1798955480,290824555000,41546365
경인전자,KOSPI,,29200,100,0.34,29100,29300,28400,6434,186004400,45867272400,1570797
계양전기,KOSPI,,4675,45,0.97,4625,4680,4590,117198,542332885,152405000000,32600000
고려산업,KOSPI,,3710,20,0.54,3735,3750,3650,111540,413891655,92525266750,24939425
고려아연,KOSPI,,521000,-11000,-2.07,529000,529000,517000,36680,19135153000,9831270000000,18870000
고려제강,KOSPI,,27350,250,0.92,27150,27700,26800,63847,1748790900,629050000000,23000000
광동제약,KOSPI,,8470,170,2.05,8290,8500,8260,156940,1318323980,444004607970,52420851
광명전기,KOSPI,,3160,255,8.78,2905,3320,2895,9541238,30232050620,136946863400,43337615
광전자,KOSPI,,2855,115,4.2,2740,2860,2705,203644,573109530,165429443365,57943763
광주신세계,KOSPI,,208500,1000,0.48,207000,212000,207000,5046,1058430500,333600000000,1600000
교보증권,KOSPI,,8510,-10,-0.12,8460,8520,8460,35037,297571580,550199548960,64653296
국도화학,KOSPI,,70300,4900,7.49,65400,71200,65100,139617,9715045300,408486304800,5810616
국동,KOSPI,,2555,-30,-1.16,2585,2600,2510,1014930,2577833940,137832727515,53946273
국보,KOSPI,,1410,-10,-0.7,1430,1440,1370,760500,1065146250,86102412810,61065541
국제약품,KOSPI,,8350,170,2.08,8090,8350,7930,1045038,8504974870,160955351500,19276090
그린케미칼,KOSPI,,11400,100,0.88,11650,11650,11250,118461,1346936250,273600000000,24000000
극동유화,KOSPI,,4300,40,0.94,4250,4320,4250,68293,292453640,149938506000,34869420
금강공업,KOSPI,,8510,10,0.12,8510,8620,8480,113104,966214790,249592828070,29329357
금비,KOSPI,,75100,0,0.0,75000,75800,74300,643,48059300,75100000000,1000000
금양,KOSPI,,5800,140,2.47,5900,5940,5670,5744862,33380188840,278003372800,47931616
금호건설,KOSPI,,13100,0,0.0,13000,13200,12900,176593,2311442850,479904404400,36633924
금호에이치티,KOSPI,,2265,-5,-0.22,2270,2300,2245,574447,1301282220,311688004470,137610598
금호전기,KOSPI,,3600,175,5.11,3390,3610,3370,430712,1513477730,59283003600,16467501
금호타이어,KOSPI,,5990,80,1.35,5830,6100,5830,383312,2311235330,1720689119130,287260287
기신정기,KOSPI,,4515,95,2.15,4420,4530,4405,53826,241699815,131838000000,29200000
