컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
아주스틸,C,C,C,C,-,-,-,-,-,,
알루코,D,C,C,D,-,-,-,-,25,,
애경산업,A,A,A+,A,-,-,-,-,29,,
애경케미칼,A,A,A,B+,-,-,-,-,24,,
에넥스,C,C,C,C,-,-,-,-,-,,
에스디바이오센서,D,C,C,D,B,D,-,-,15,,
에스엘,B+,B+,A,B+,B+,BB,-,-,49,,
에스엠벡셀,D,D,C,C,-,-,-,-,-,,
오뚜기,B+,B+,A,B+,A,BB,22,-,29,,
오리엔트바이오,D,D,D,D,-,-,-,-,7,,
오리온,A,A,A,B+,A,A,23,B,23,,
오리온홀딩스,A,A,A,A,A,A,-,-,22,,
와이투솔루션,C,C,C,C,-,-,-,-,6,,
우리금융지주,A,A+,A+,A,A,BB,45,AAA,76,,
우리종금,B+,B+,A,B+,-,-,-,-,-,,
우성,C,D,C,C,-,-,-,-,-,,
우신시스템,C,D,D,B,-,-,-,-,-,,
우진,C,D,C,C,-,-,-,-,-,,
오뚜기,B+,B+,A,B+,A,BB,22,-,29,,
오리엔트바이오,D,D,D,D,-,-,-,-,7,,
오리온,A,A,A,B+,A,A,23,B,23,,
오리온홀딩스,A,A,A,A,A,A,-,-,22,,
와이투솔루션,C,C,C,C,-,-,-,-,6,,
우리금융지주,A,A+,A+,A,A,BB,45,AAA,76,,
우리종금,B+,B+,A,B+,-,-,-,-,-,,
우성,C,D,C,C,-,-,-,-,-,,
우신시스템,C,D,D,B,-,-,-,-,-,,
우진,C,D,C,C,-,-,-,-,-,,
오뚜기,B+,B+,A,B+,A,BB,22,-,29,,
오리엔트바이오,D,D,D,D,-,-,-,-,7,,
오리온,A,A,A,B+,A,A,23,B,23,,
오리온홀딩스,A,A,A,A,A,A,-,-,22,,
와이투솔루션,C,C,C,C,-,-,-,-,6,,
우리금융지주,A,A+,A+,A,A,BB,45,AAA,76,,
우리종금,B+,B+,A,B+,-,-,-,-,-,,
우성,C,D,C,C,-,-,-,-,-,,
우신시스템,C,D,D,B,-,-,-,-,-,,
우진,C,D,C,C,-,-,-,-,-,,
오뚜기,B+,B+,A,B+,A,BB,22,-,29,,
오리엔트바이오,D,D,D,D,-,-,-,-,7,,
오리온,A,A,A,B+,A,A,23,B,23,,
오리온홀딩스,A,A,A,A,A,A,-,-,22,,
와이투솔루션,C,C,C,C,-,-,-,-,6,,
우리금융지주,A,A+,A+,A,A,BB,45,AAA,76,,
우리종금,B+,B+,A,B+,-,-,-,-,-,,
우성,C,D,C,C,-,-,-,-,-,,
우신시스템,C,D,D,B,-,-,-,-,-,,
우진,C,D,C,C,-,-,-,-,-,,
인터지스,C,C,C,C,-,-,-,-,-,,
인팩,C,C,C,B,-,-,-,-,-,,
일동제약,B+,B+,A+,B,-,-,-,-,-,,
일동홀딩스,A,B+,A+,B+,-,-,-,-,-,,
일성건설,D,C,D,D,-,-,-,-,-,,
일성아이에스,C,D,C,B,-,-,-,-,-,,
일신방직,D,C,C,D,-,-,-,-,-,,
일신석재,D,D,D,C,-,-,-,-,4,,
일양약품,C,D,C,B+,-,-,-,-,15,,
일정실업,D,D,D,C,-,-,-,-,-,,
일진다이아,D,D,D,C,-,-,-,-,-,,
일진디스플,C,C,D,C,-,-,-,-,-,,
일진전기,D,C,C,D,-,-,-,-,-,,
일진하이솔루스,C,C,B,C,C,A,-,-,-,,
일진홀딩스,B,D,C,B+,-,-,-,-,-,,
잇츠한불,C,C,C,B,-,-,-,-,10,,
자이에스앤디,C,C,B,B,-,-,-,-,-,,
자화전자,D,C,C,D,-,-,-,-,15,,
전방,D,C,C,D,-,-,-,-,-,,
제이에스코퍼레이션,D,D,D,C,-,-,-,-,-,,
제이준코스메틱,D,D,D,D,-,-,-,-,-,,
제일기획,A,A,A+,A,A,B,32,-,35,,
제일약품,C,C,B+,D,-,-,-,-,-,,
제일연마,C,C,D,B,-,-,-,-,-,,
제일파마홀딩스,C,C,B+,D,-,-,-,-,-,,
제주은행,B+,B+,A,B+,-,-,-,-,-,,
제주항공,A,A,A+,B+,-,-,-,-,28,,
조광페인트,C,C,B,C,-,-,-,-,-,,
조광피혁,C,D,D,B,-,-,-,-,-,,
조비,D,D,D,D,-,-,-,-,-,,
조선선재,D,D,D,D,-,-,-,-,-,,
조일알미늄,C,C,C,B,-,-,-,-,-,,
조흥,C,C,B,C,-,-,-,-,-,,
종근당,B+,A,A,B,B+,AA,-,-,40,,
종근당바이오,B+,A,A,B,-,-,-,-,-,,
종근당홀딩스,B+,A,A,B+,-,-,-,-,33,,
주성코퍼레이션,D,C,D,D,-,-,-,-,-,,
주연테크,D,D,D,D,-,-,-,-,-,,
지누스,A,A,A,A,B+,A,-,-,25,,
지엠비코리아,D,D,C,D,-,-,-,-,-,,
지역난방공사,A+,A+,A+,A,-,-,-,-,42,,
진도,D,D,D,D,-,-,-,-,-,,
진양산업,C,D,D,B,-,-,-,-,-,,
진양폴리우레탄,D,D,D,C,-,-,-,-,-,,
진양홀딩스,C,D,D,B,-,-,-,-,-,,
진양화학,C,C,D,C,-,-,-,-,-,,
진에어,A,A,A,A,-,-,-,-,-,,
진원생명과학,D,D,C,D,-,-,-,-,14,,
진흥기업,C,C,C,B,-,-,-,-,-,,
참엔지니어링,D,D,D,D,-,-,-,-,-,,
천일고속,D,C,D,D,-,-,-,-,-,,
청호ICT,D,D,D,D,-,-,-,-,-,,
체시스,D,C,D,D,-,-,-,-,-,,
카카오,A,A+,A+,B+,A,A,24,A,66,,
카카오뱅크,B+,B+,A,B+,B+,A,-,AA,26,,
카카오페이,A,A,A+,A,A,BB,-,-,57,,
카프로,C,C,C,C,-,-,-,-,11,,
케이비아이동국실업,D,D,D,D,-,-,-,-,-,,
케이씨,C,C,A,D,-,-,-,-,16,,
케이씨씨,A,A,A,B+,A,A,33,-,50,,
케이씨씨글라스,A,A,A+,A,-,-,-,-,39,,
케이씨텍,B,C,B,B,-,-,-,-,-,,
케이씨티시,D,C,C,D,-,-,-,-,-,,
케이카,B,C,B,B,B+,BB,-,-,-,,
케이탑리츠,D,D,D,D,-,-,-,-,-,,
케이티,A,B+,A,A,A,AA,47,A,53,,
케이티스카이라이프,B+,B+,A,B+,-,-,-,-,31,,
케이티앤지,A+,A+,A+,A+,A+,A,37,AA,85,,
코리아써키트,D,C,C,D,-,-,-,-,-,,
코리안리,A,A,A,A,-,-,-,-,30,,
코스맥스,B,A,A,D,A,AA,-,-,37,,
코스맥스비티아이,B,A,A,C,-,-,-,-,-,,
코스모신소재,C,C,C,C,-,A,-,BB,13,,
코스모화학,D,C,C,D,B+,A,-,-,18,,
코아스,B,C,C,B+,-,-,-,-,-,,
코오롱,B+,B+,A,B,-,-,-,-,13,,
코오롱ENP,B,C,B,B+,-,-,-,-,-,,
코오롱글로벌,C,B,B+,C,-,-,-,-,-,,
코오롱인더,B+,B+,A+,B,A,A,-,-,50,,
코웨이,A,A,A+,B+,A,A,31,AA,57,,
콘텐트리중앙,D,D,D,D,-,-,-,-,-,,
콜마홀딩스,A,A,A+,A,-,-,-,-,37,,
콤텍시스템,D,D,D,D,-,-,-,-,-,,
쿠쿠홀딩스,D,D,C,D,-,-,-,-,6,,
쿠쿠홈시스,D,D,C,D,B,BB,-,-,10,,
크라운제과,C,C,B,C,-,-,-,-,-,,
크라운해태홀딩스,D,C,C,D,-,-,-,-,-,,
크래프톤,B+,C,A,A,B+,C,-,BBB,16,,
키다리스튜디오,D,D,D,D,-,-,-,-,-,,
키움증권,B+,B,A,B,B+,B,-,-,23,,
태경비케이,C,C,C,C,-,-,-,-,-,,
태경산업,C,C,C,C,-,-,-,-,-,,
태경케미컬,D,D,D,D,-,-,-,-,-,,
태광산업,C,C,C,C,B+,C,-,-,21,,
태림포장,B,A,A,D,-,-,-,-,32,,
태양금속공업,D,C,C,D,-,-,-,-,-,,
태영건설,A,A,A,B+,-,-,-,-,30,,
태원물산,D,D,D,D,-,-,-,-,-,,
테이팩스,A,A,A,B+,-,-,-,-,-,,
텔코웨어,C,D,D,B,-,-,-,-,-,,
토니모리,C,D,D,B,-,-,-,-,-,,
티비에이치글로벌,D,D,D,C,-,-,-,-,-,,
티에이치엔,C,C,B,C,-,-,-,-,-,,
티와이홀딩스,B+,A,A,B,-,-,-,-,-,,
티웨이항공,B,B,C,B,-,-,-,-,-,,
티웨이홀딩스,D,C,C,D,-,-,-,-,-,,
티케이지휴켐스,B+,B+,A,B,A,AA,-,-,32,,
파라다이스,-,-,-,-,-,-,13,-,13,,
파미셀,D,C,D,D,-,-,-,-,18,,
팜스코,A,B+,A,A,-,-,-,-,-,,
팜젠사이언스,D,D,C,D,-,-,-,-,-,,
팬오션,A,A+,A,A,B+,BB,21,-,40,,
퍼스텍,C,C,C,C,-,-,-,-,-,,
퍼시스,D,C,C,D,-,-,-,-,-,,
페이퍼코리아,D,C,C,D,-,-,-,-,-,,
평화산업,D,D,C,C,-,-,-,-,-,,
평화홀딩스,C,D,C,B+,-,-,-,-,-,,
포스코DX,-,-,-,-,A,AA,-,BBB,43,,
포스코스틸리온,A,A,A+,B+,-,-,-,-,-,,
포스코인터내셔널,A,A,A+,A,A,A,30,BB,39,,
포스코퓨처엠,A,A,A+,A,A,A,44,BBB,69,,
풀무원,A,A,A+,A,-,-,-,-,78,,
풍산,B+,B+,B+,B+,B+,BB,-,-,19,,
풍산홀딩스,B+,B+,B+,B+,-,-,-,-,11,,
플레이그램,D,D,D,D,-,-,-,-,-,,
하나금융지주,A,A+,A+,A,A,A,38,AA,80,,
하나제약,C,D,C,C,-,-,-,-,-,,
하나투어,B+,B+,A,B+,A,AA,-,-,20,,
하이브,C,B,B+,C,B+,B,-,BBB,9,,
하이스틸,C,C,C,C,-,-,-,-,-,,
하이트진로,B,A,A,C,A,BB,-,-,32,,
하이트진로홀딩스,B+,A,A,B,-,-,-,-,-,,
한국가스공사,A,A,A+,B+,A,A,31,-,68,,
한국공항,B+,A,B,B+,-,-,-,-,-,,
한국금융지주,B+,C,B+,B+,B+,BB,14,B,22,,
한국내화,C,B+,B+,D,-,-,-,-,-,,
한국단자공업,C,C,B,C,-,-,-,-,13,,
한국무브넥스,C,C,C,C,-,-,-,-,-,,
한국석유공업,B+,B+,B+,B+,-,-,-,-,-,,
한국수출포장공업,D,C,D,D,-,-,-,-,-,,
한국쉘석유,C,C,C,B+,-,-,-,-,19,,
한국앤컴퍼니,B+,B+,A,B+,B+,C,-,-,21,,
한국자산신탁,C,C,C,B,-,-,-,-,-,,
한국전력공사,B+,B,A,A,A,BB,38,BB,71,,
한국전자홀딩스,D,C,C,D,-,-,-,-,-,,
한국제지,C,C,C,C,-,-,-,-,-,,
한국종합기술,C,C,C,B,-,-,-,-,-,,
한국주강,D,D,D,D,-,-,-,-,-,,
한국주철관공업,D,C,D,D,-,-,-,-,-,,
한국철강,C,C,D,B,-,-,-,-,13,,
한국카본,B,B+,B+,C,-,-,-,-,15,,
한국콜마,A,A,A+,A,A+,A,-,-,53,,
한국타이어앤테크놀로지,B,B+,A+,D,A,C,40,BB,74,,
한국토지신탁,C,D,C,B,-,-,-,-,5,,
한국특강,C,C,C,C,-,-,-,-,-,,
한국항공우주,B+,B+,A,B+,B+,BB,17,BB,33,,
한국화장품,D,D,C,D,-,-,-,-,-,,
한국화장품제조,D,D,C,D,-,-,-,-,-,,
한농화성,D,C,C,D,-,-,-,-,-,,
한독,A,A,A+,B+,-,-,-,-,34,,
한미글로벌,B+,A,A+,B,-,-,-,-,-,,
한미반도체,D,D,D,C,-,BB,-,CCC,6,,
한미사이언스,B+,A,A,B,B+,AA,22,-,15,,
한미약품,B+,A,A,B,A,A,28,BB,42,,
한샘,A,A,A,A,A,AA,30,-,33,,
한섬,A,A,A+,A,A,A,-,-,26,,
한성기업,C,B,B,D,-,-,-,-,-,,
한세실업,B+,B+,A,B+,B+,AA,-,-,40,,
한세엠케이,C,B,B+,C,-,-,-,-,-,,
한세예스24홀딩스,A,B+,A,A,-,-,-,-,23,,
한솔로지스틱스,B,C,B+,B+,-,-,-,-,-,,
한솔제지,A,A,A,A,-,-,-,-,-,,
한솔케미칼,B+,B+,B+,B+,A,AA,-,-,36,,
한솔테크닉스,B+,B+,A,B+,-,-,-,-,33,,
한솔피엔에스,B+,B,B,A,-,-,-,-,-,,
한솔홀딩스,A,B+,A,A,-,-,-,-,17,,
한솔홈데코,B+,B+,B+,B+,-,-,-,-,-,,
한신공영,D,C,C,D,-,-,-,-,18,,
한신기계공업,D,C,D,D,-,-,-,-,-,,
한양증권,C,D,B,C,-,-,-,-,-,,
한온시스템,B+,B+,A+,B,A,A,31,-,63,,
한올바이오파마,B,B,D,B+,B+,BB,-,-,14,,
한익스프레스,C,C,C,C,-,-,-,-,-,,
한일시멘트,A,A,A+,B+,B+,C,-,-,-,,
한일철강,D,D,D,D,-,-,-,-,-,,
한일현대시멘트,B+,A,A+,B,-,-,-,-,-,,
한일홀딩스,A,A,A+,B+,-,-,-,-,29,,
한전KPS,A,A,A,A,A,A,28,-,59,,
한전기술,A,B+,A+,A,B+,AA,-,-,35,,
한전산업,C,C,D,B,-,-,-,-,-,,
한진,A,A,A,A,-,-,-,-,31,,
한진중공업홀딩스,C,D,C,B+,-,-,-,-,-,,
한진칼,A,A,A+,A,A,A,-,BBB,25,,
한창,D,D,D,D,-,-,-,-,-,,
한창제지,C,C,C,C,-,-,-,-,-,,
한컴라이프케어,C,C,B,D,-,-,-,-,-,,
한화,B+,B+,B+,B+,A,C,32,-,52,,
한화생명,A,A,A+,B+,B+,A,25,-,31,,
한화손해보험,A,A,A,A,-,-,-,-,28,,
한화솔루션,B+,A,A+,B,A+,A,48,A,47,,
한화시스템,A,A,A+,A,A,A,-,-,46,,
한화에어로스페이스,A,A,A,A,A,A,30,A,41,,
한화엔진,B+,B,A,B+,-,-,-,-,-,,
한화오션,B+,B+,B+,B+,B+,B,-,CCC,32,,
한화투자증권,A,A,A+,B+,-,-,-,-,35,,
해성디에스,A,A,A+,B+,-,-,-,-,-,,
해태제과식품,D,D,C,D,-,-,-,-,-,,
핸즈코퍼레이션,C,C,B,D,-,-,-,-,-,,
현대건설,A,A,A,A,B+,B,36,BBB,78,,
현대글로비스,A+,A+,A+,A,A+,BB,37,BB,76,,
현대로템,A,A,A+,A,A,BB,-,-,49,,
현대리바트,A,A,A+,B+,-,-,-,-,23,,
현대모비스,A,A+,A+,B+,A+,A,46,B,74,,
현대백화점,A+,A+,A+,A,A,A,13,-,36,,
현대비앤지스틸,B,A,B+,C,-,-,-,-,-,,
현대약품,C,C,C,B,-,-,-,-,-,,
현대엘리베이터,B+,B+,A,B+,A,A,-,-,40,,
현대오토에버,A,A+,A+,B+,-,-,-,-,51,,
현대위아,A+,A+,A+,A,A+,BB,36,-,49,,
현대자동차,A,A,A,B+,A,B,35,CCC,72,,
현대제철,A,A+,A,B+,A,A,46,B,74,,
현대지에프홀딩스,A,A,A+,A,-,-,-,-,22,,
현대차증권,A,B+,A+,B+,-,-,-,-,16,,
현대코퍼레이션,B+,B,B+,B+,-,-,-,-,22,,
현대코퍼레이션홀딩스,B+,B,B+,B+,-,-,-,-,-,,
현대퓨처넷,A,A,A+,A,-,-,-,-,-,,
현대해상,A,A,A+,A,B+,BB,37,-,35,,
현대홈쇼핑,A,A,A+,A,A+,AA,-,-,36,,
형지엘리트,D,D,D,D,-,-,-,-,-,,
혜인,D,D,D,D,-,-,-,-,-,,
호전실업,C,D,D,B,-,-,-,-,-,,
호텔신라,A,A,A,A,A,A,14,-,8,,
화승알앤에이,B,B,B+,B,-,-,-,-,-,,
화승엔터프라이즈,B+,B+,B+,B+,-,-,-,-,-,,
화승인더스트리,B+,B+,B+,B+,-,-,-,-,-,,
화승코퍼레이션,B,C,B,B+,-,-,-,-,-,,
화신,B+,B,A,B,-,-,-,-,-,,
화인베스틸,D,C,C,D,-,-,-,-,-,,
화천기계,C,D,C,C,-,-,-,-,-,,
화천기공,C,D,C,C,-,-,-,-,-,,
환인제약,B,C,C,B+,-,-,-,-,17,,
황금에스티,C,D,D,B,-,-,-,-,-,,
효성,A,A,A+,B+,A,BB,-,-,42,,
효성 ITX,B+,B+,A+,B,-,-,-,-,-,,
효성중공업,A,A,A+,B+,-,-,-,-,42,,
효성티앤씨,A,A+,A+,B+,A,B,-,-,51,,
효성화학,A,A,A+,B+,-,-,-,-,48,,
후성,B+,A,A,B,B+,BB,-,-,22,,
휠라홀딩스,A,A,A,B+,B+,BB,33,-,43,,
휴니드테크놀러지스,D,C,D,D,-,-,-,-,-,,
휴비스,A,B+,A+,B+,-,-,-,-,21,,
휴스틸,C,C,C,C,-,-,-,-,-,,
흥국화재,B+,B,B+,B+,-,-,-,-,-,,
흥아해운,B,B,B+,B,-,-,-,-,-,,
